"nacionality","sex","sport","edad","medallas"
"AUS","female","football",21,"NO"
"GBR","male","hockey",29,"NO"
"ESP","female","basketball",27,"SI"
"NIG","male","aquatics",21,"NO"
"SUI","female","golf",19,"NO"
"ESP","male","aquatics",31,"NO"
"RUS","male","taekwondo",24,"NO"
"ESP","male","equestrian",38,"NO"
"BRN","male","athletics",24,"NO"
"ESP","male","aquatics",22,"NO"
"VEN","male","boxing",24,"NO"
"ESP","male","tennis",28,"NO"
"ROU","male","wrestling",31,"SI"
"AZE","male","boxing",30,"NO"
"VEN","male","aquatics",30,"NO"
"VEN","male","athletics",29,"NO"
"HON","male","football",20,"NO"
"ANG","female","handball",20,"NO"
"MEX","male","athletics",25,"NO"
"ARG","male","boxing",26,"NO"
"ESP","male","shooting",33,"NO"
"ARG","male","boxing",26,"NO"
"ESP","male","aquatics",22,"NO"
"ITA","male","canoe",31,"NO"
"SWE","male","handball",24,"NO"
"RUS","female","shooting",29,"NO"
"BRA","male","athletics",24,"NO"
"ITA","male","fencing",38,"NO"
"AUS","male","archery",20,"SI"
"GER","male","athletics",29,"NO"
"COL","female","rugby sevens",29,"NO"
"MEX","female","weightlifting",25,"NO"
"VEN","female","fencing",36,"NO"
"MEX","female","golf",28,"NO"
"MEX","female","aquatics",19,"NO"
"MEX","female","athletics",22,"NO"
"ESP","female","gymnastics",24,"SI"
"MEX","female","fencing",25,"NO"
"MEX","female","archery",22,"NO"
"MEX","female","shooting",32,"NO"
"CUB","male","wrestling",28,"NO"
"URU","male","sailing",32,"NO"
"ESP","male","cycling",36,"NO"
"AZE","male","rowing",26,"NO"
"MNE","male","aquatics",30,"NO"
"SRB","male","table tennis",41,"NO"
"SRB","male","judo",25,"NO"
"BUL","male","aquatics",24,"NO"
"MNE","male","aquatics",29,"NO"
"RUS","male","aquatics",21,"NO"
"RUS","male","canoe",35,"NO"
"RUS","male","equestrian",31,"NO"
"RUS","male","aquatics",22,"NO"
"RUS","male","aquatics",20,"NO"
"ITA","female","aquatics",28,"SI"
"SRB","female","basketball",20,"SI"
"POL","female","shooting",26,"NO"
"SRB","female","tennis",23,"NO"
"RUS","female","aquatics",28,"SI"
"KAZ","female","athletics",26,"NO"
"POL","female","fencing",34,"NO"
"POL","female","aquatics",29,"NO"
"LAT","male","volleyball",31,"NO"
"RUS","male","aquatics",19,"NO"
"RUS","male","cycling",22,"NO"
"LAT","male","canoe",30,"NO"
"LAT","male","cycling",34,"NO"
"UZB","male","canoe",26,"NO"
"FIN","male","athletics",24,"NO"
"BRN","male","athletics",26,"NO"
"UKR","male","wrestling",28,"NO"
"BLR","female","athletics",28,"NO"
"BLR","female","cycling",27,"NO"
"BLR","female","rowing",25,"NO"
"CAN","female","golf",35,"NO"
"BLR","female","athletics",23,"NO"
"USA","female","hockey",26,"NO"
"ESP","female","athletics",38,"NO"
"ITA","female","rowing",25,"NO"
"SMR","female","shooting",28,"NO"
"ITA","male","cycling",30,"NO"
"ITA","male","triathlon",28,"NO"
"ITA","male","aquatics",29,"SI"
"ITA","male","aquatics",21,"SI"
"ITA","female","volleyball",25,"NO"
"ITA","female","gymnastics",20,"NO"
"ITA","female","volleyball",18,"NO"
"ITA","female","aquatics",22,"NO"
"ITA","female","athletics",23,"NO"
"NED","female","rowing",27,"NO"
"USA","female","rugby sevens",25,"NO"
"ESP","male","basketball",23,"SI"
"GHA","male","athletics",24,"NO"
"COK","male","athletics",21,"NO"
"USA","male","aquatics",23,"NO"
"ESP","male","hockey",28,"NO"
"GER","male","golf",46,"NO"
"BRA","male","basketball",36,"NO"
"CUB","male","judo",23,"NO"
"GBR","male","rowing",32,"SI"
"CHN","male","equestrian",27,"NO"
"NZL","male","rowing",24,"NO"
"NZL","female","sailing",24,"SI"
"USA","female","football",27,"NO"
"USA","male","aquatics",25,"NO"
"ITA","male","volleyball",29,"NO"
"USA","male","aquatics",21,"NO"
"SAM","male","athletics",25,"NO"
"BAR","male","aquatics",18,"NO"
"BRA","male","judo",28,"NO"
"IRL","male","athletics",26,"NO"
"ITA","male","aquatics",26,"NO"
"MEX","female","gymnastics",22,"NO"
"AUS","male","rowing",26,"SI"
"NED","male","volleyball",27,"SI"
"RUS","male","triathlon",29,"NO"
"BLR","male","tennis",29,"NO"
"CZE","male","fencing",22,"NO"
"AUS","male","cycling",23,"SI"
"SWE","male","football",22,"NO"
"AUT","male","cycling",26,"NO"
"AUS","male","athletics",23,"NO"
"BEL","male","hockey",23,"NO"
"AUS","male","rowing",23,"SI"
"AUT","male","volleyball",34,"NO"
"AUT","male","volleyball",31,"NO"
"GER","male","athletics",30,"NO"
"USA","male","rowing",26,"NO"
"GER","male","athletics",39,"NO"
"SWE","male","football",19,"NO"
"KEN","male","athletics",20,"NO"
"RUS","male","modern pentathlon",28,"SI"
"AUS","male","rowing",26,"NO"
"USA","male","fencing",22,"SI"
"SWE","male","football",24,"NO"
"CUB","male","shooting",25,"NO"
"USA","male","gymnastics",25,"SI"
"AUT","male","tennis",36,"NO"
"BRA","male","athletics",22,"NO"
"AUT","male","shooting",27,"NO"
"ISR","male","gymnastics",29,"NO"
"RUS","male","table tennis",26,"NO"
"ESP","male","rowing",28,"NO"
"RUS","male","aquatics",28,"NO"
"RUS","male","volleyball",31,"NO"
"MDA","male","weightlifting",27,"NO"
"KAZ","male","canoe",32,"NO"
"KAZ","male","weightlifting",24,"SI"
"GER","female","athletics",22,"NO"
"GBR","female","hockey",31,"SI"
"AUS","female","rowing",25,"NO"
"ARG","female","canoe",33,"NO"
"FRA","female","handball",29,"SI"
"SVK","female","archery",22,"NO"
"BRA","female","handball",35,"NO"
"MDA","female","archery",23,"NO"
"KAZ","female","aquatics",21,"NO"
"PUR","female","volleyball",32,"NO"
"GER","female","football",25,"SI"
"BLR","female","table tennis",29,"NO"
"USA","female","gymnastics",22,"SI"
"RUS","female","triathlon",26,"NO"
"FRA","female","athletics",23,"NO"
"SUI","female","aquatics",22,"NO"
"GER","female","aquatics",21,"NO"
"GER","female","athletics",22,"NO"
"FRA","male","equestrian",34,"NO"
"SEN","male","fencing",35,"NO"
"FRA","male","aquatics",29,"NO"
"BRA","male","fencing",17,"NO"
"SUI","male","aquatics",21,"NO"
"FRA","male","judo",25,"NO"
"BEL","male","hockey",28,"NO"
"GRE","male","aquatics",27,"NO"
"ESP","female","handball",30,"NO"
"BRA","male","handball",28,"NO"
"GRE","male","athletics",28,"NO"
"RUS","male","shooting",41,"NO"
"MDA","male","aquatics",17,"NO"
"GER","male","weightlifting",26,"NO"
"RUS","male","shooting",41,"NO"
"RUS","male","fencing",31,"SI"
"RUS","male","taekwondo",23,"SI"
"KAZ","male","canoe",32,"NO"
"RUS","male","volleyball",34,"NO"
"RUS","male","fencing",33,"NO"
"GRE","female","athletics",26,"NO"
"ARG","male","volleyball",35,"NO"
"FRA","male","shooting",22,"SI"
"POR","male","aquatics",24,"NO"
"ARG","male","football",23,"NO"
"FRA","male","cycling",28,"NO"
"SEY","female","aquatics",23,"NO"
"MEX","male","wrestling",23,"NO"
"ESP","male","canoe",25,"NO"
"KEN","male","athletics",20,"NO"
"ECU","male","cycling",23,"NO"
"MEX","male","football",34,"NO"
"LBA","male","rowing",27,"NO"
"IRQ","male","football",23,"NO"
"LBA","male","archery",19,"NO"
"TUR","male","boxing",26,"NO"
"IRQ","male","football",22,"NO"
"IRI","male","weightlifting",25,"NO"
"IRQ","male","football",22,"NO"
"TUR","male","athletics",22,"NO"
"EGY","male","aquatics",20,"NO"
"BRN","male","athletics",21,"NO"
"USA","female","football",32,"NO"
"ALG","male","athletics",21,"NO"
"TUN","male","cycling",22,"NO"
"IRI","male","fencing",26,"NO"
"NZL","female","football",29,"NO"
"SWE","male","football",19,"NO"
"QAT","male","equestrian",35,"NO"
"EGY","male","handball",26,"NO"
"JAM","female","aquatics",28,"NO"
"UAE","female","athletics",23,"NO"
"BLR","male","weightlifting",24,"NO"
"BLR","male","fencing",32,"NO"
"BLR","male","athletics",27,"NO"
"BLR","female","aquatics",31,"SI"
"BLR","female","basketball",28,"NO"
"BLR","male","weightlifting",20,"NO"
"TUR","male","sailing",28,"NO"
"KEN","female","athletics",22,"NO"
"AUS","female","archery",23,"NO"
"ITA","female","aquatics",23,"NO"
"NED","female","equestrian",45,"NO"
"GBR","female","rugby sevens",29,"NO"
"GBR","female","judo",28,"NO"
"ITA","female","sailing",24,"NO"
"ITA","female","modern pentathlon",25,"NO"
"GBR","female","aquatics",20,"NO"
"CAN","female","athletics",26,"NO"
"ESP","female","sailing",33,"NO"
"AUS","female","aquatics",29,"NO"
"ESP","female","hockey",22,"NO"
"AUS","female","rugby sevens",24,"SI"
"POL","female","aquatics",24,"NO"
"ROU","male","wrestling",26,"NO"
"ROU","male","aquatics",24,"NO"
"ROU","male","shooting",33,"NO"
"NAM","female","athletics",33,"NO"
"UKR","female","athletics",27,"NO"
"UKR","female","fencing",23,"SI"
"UKR","female","athletics",26,"NO"
